Walter White,5551112233,walter.white@gmail.com,Albuquerque
Jesse Pinkman,5551112234,jesse.pinkman@gmail.com,Albuquerque
Skyler White,5551112235,skyler.white@gmail.com,Albuquerque
Hank Schrader,5551112236,hank.schrader@gmail.com,Albuquerque
Marie Schrader,5551112237,marie.schrader@gmail.com,Albuquerque
Saul Goodman,5551112238,saul.goodman@gmail.com,Albuquerque
Gustavo Fring,5551112239,gustavo.fring@gmail.com,Albuquerque
Mike Ehrmantraut,5551112240,mike.ehrmantraut@gmail.com,Albuquerque
Lydia Rodarte-Quayle,5551112241,lydia.rodartequayle@gmail.com,Albuquerque
Todd Alquist,5551112242,todd.alquist@gmail.com,Albuquerque
